Sexo;Edad;Provincias;Periodo;Total
Hombres;Total;Total Nacional;1 de enero de 1982;18.591.423
Hombres;Total;Total Nacional;1 de enero de 1981;18.467.449
Hombres;Total;Total Nacional;1 de enero de 1980;18.323.513
Hombres;0 años;Total Nacional;1 de enero de 2020;185.084
Hombres;0 años;Total Nacional;1 de enero de 2019;191.164
Hombres;0 años;Total Nacional;1 de enero de 2018;202.087
Hombres;0 años;Total Nacional;1 de enero de 2017;210.606
Hombres;0 años;Total Nacional;1 de enero de 2016;215.948
Hombres;0 años;Total Nacional;1 de enero de 2015;220.124
Hombres;0 años;Total Nacional;1 de enero de 2014;218.576
Hombres;0 años;Total Nacional;1 de enero de 2013;233.648
Hombres;0 años;Total Nacional;1 de enero de 2012;245.029
Hombres;0 años;Total Nacional;1 de enero de 2011;249.568
Hombres;0 años;Total Nacional;1 de enero de 2010;255.371
Hombres;0 años;Total Nacional;1 de enero de 2009;268.221
Hombres;0 años;Total Nacional;1 de enero de 2008;254.589
Hombres;0 años;Total Nacional;1 de enero de 2007;249.535
Hombres;0 años;Total Nacional;1 de enero de 2006;240.395
Hombres;0 años;Total Nacional;1 de enero de 2005;235.081
Hombres;0 años;Total Nacional;1 de enero de 2004;228.104
Hombres;0 años;Total Nacional;1 de enero de 2003;216.148
Hombres;0 años;Total Nacional;1 de enero de 2002;210.646
Hombres;0 años;Total Nacional;1 de enero de 2001;204.095
Hombres;0 años;Total Nacional;1 de enero de 2000;195.125
Hombres;0 años;Total Nacional;1 de enero de 1999;188.746
Hombres;0 años;Total Nacional;1 de enero de 1998;188.953
Hombres;0 años;Total Nacional;1 de enero de 1997;185.640
Hombres;0 años;Total Nacional;1 de enero de 1996;186.960
Hombres;0 años;Total Nacional;1 de enero de 1995;190.020
Hombres;0 años;Total Nacional;1 de enero de 1994;198.441
Hombres;0 años;Total Nacional;1 de enero de 1993;203.861
Hombres;0 años;Total Nacional;1 de enero de 1992;201.958
Hombres;0 años;Total Nacional;1 de enero de 1991;200.815
Hombres;0 años;Total Nacional;1 de enero de 1990;206.812
Hombres;0 años;Total Nacional;1 de enero de 1989;211.736
Hombres;0 años;Total Nacional;1 de enero de 1988;217.443
Hombres;0 años;Total Nacional;1 de enero de 1987;223.389
Hombres;0 años;Total Nacional;1 de enero de 1986;233.146
Hombres;0 años;Total Nacional;1 de enero de 1985;243.492
Hombres;0 años;Total Nacional;1 de enero de 1984;248.739
Hombres;0 años;Total Nacional;1 de enero de 1983;265.636
Hombres;0 años;Total Nacional;1 de enero de 1982;285.634
Hombres;0 años;Total Nacional;1 de enero de 1981;293.066
Hombres;0 años;Total Nacional;1 de enero de 1980;305.127
Hombres;1 año;Total Nacional;1 de enero de 2020;194.438
Hombres;1 año;Total Nacional;1 de enero de 2019;205.202
Hombres;1 año;Total Nacional;1 de enero de 2018;213.645
Hombres;1 año;Total Nacional;1 de enero de 2017;218.042
Hombres;1 año;Total Nacional;1 de enero de 2016;221.681
Hombres;1 año;Total Nacional;1 de enero de 2015;219.379
Hombres;1 año;Total Nacional;1 de enero de 2014;233.543
Hombres;1 año;Total Nacional;1 de enero de 2013;245.056
Hombres;1 año;Total Nacional;1 de enero de 2012;249.398
Hombres;1 año;Total Nacional;1 de enero de 2011;255.870
Hombres;1 año;Total Nacional;1 de enero de 2010;268.851
Hombres;1 año;Total Nacional;1 de enero de 2009;256.772
Hombres;1 año;Total Nacional;1 de enero de 2008;252.739
Hombres;1 año;Total Nacional;1 de enero de 2007;243.405
Hombres;1 año;Total Nacional;1 de enero de 2006;237.895
Hombres;1 año;Total Nacional;1 de enero de 2005;230.517
Hombres;1 año;Total Nacional;1 de enero de 2004;219.087
Hombres;1 año;Total Nacional;1 de enero de 2003;213.649
Hombres;1 año;Total Nacional;1 de enero de 2002;204.828
Hombres;1 año;Total Nacional;1 de enero de 2001;195.622
Hombres;1 año;Total Nacional;1 de enero de 2000;189.537
Hombres;1 año;Total Nacional;1 de enero de 1999;188.840
Hombres;1 año;Total Nacional;1 de enero de 1998;185.743
Hombres;1 año;Total Nacional;1 de enero de 1997;187.243
Hombres;1 año;Total Nacional;1 de enero de 1996;190.139
Hombres;1 año;Total Nacional;1 de enero de 1995;198.483
Hombres;1 año;Total Nacional;1 de enero de 1994;204.089
Hombres;1 año;Total Nacional;1 de enero de 1993;202.286
Hombres;1 año;Total Nacional;1 de enero de 1992;200.588
Hombres;1 año;Total Nacional;1 de enero de 1991;203.826
Hombres;1 año;Total Nacional;1 de enero de 1990;208.275
Hombres;1 año;Total Nacional;1 de enero de 1989;215.361
Hombres;1 año;Total Nacional;1 de enero de 1988;221.448
Hombres;1 año;Total Nacional;1 de enero de 1987;231.816
Hombres;1 año;Total Nacional;1 de enero de 1986;243.032
Hombres;1 año;Total Nacional;1 de enero de 1985;248.322
Hombres;1 año;Total Nacional;1 de enero de 1984;265.222
Hombres;1 año;Total Nacional;1 de enero de 1983;284.204
Hombres;1 año;Total Nacional;1 de enero de 1982;292.418
Hombres;1 año;Total Nacional;1 de enero de 1981;303.339
Hombres;1 año;Total Nacional;1 de enero de 1980;321.230
Hombres;2 años;Total Nacional;1 de enero de 2020;208.679
Hombres;2 años;Total Nacional;1 de enero de 2019;216.785
Hombres;2 años;Total Nacional;1 de enero de 2018;220.675
Hombres;2 años;Total Nacional;1 de enero de 2017;223.030
Hombres;2 años;Total Nacional;1 de enero de 2016;219.885
Hombres;2 años;Total Nacional;1 de enero de 2015;233.271
Hombres;2 años;Total Nacional;1 de enero de 2014;243.553
Hombres;2 años;Total Nacional;1 de enero de 2013;248.322
Hombres;2 años;Total Nacional;1 de enero de 2012;255.532
Hombres;2 años;Total Nacional;1 de enero de 2011;268.942
Hombres;2 años;Total Nacional;1 de enero de 2010;257.612
Hombres;2 años;Total Nacional;1 de enero de 2009;254.729
Hombres;2 años;Total Nacional;1 de enero de 2008;246.660
Hombres;2 años;Total Nacional;1 de enero de 2007;241.057
Hombres;2 años;Total Nacional;1 de enero de 2006;233.347
Hombres;2 años;Total Nacional;1 de enero de 2005;221.645
Hombres;2 años;Total Nacional;1 de enero de 2004;216.810
Hombres;2 años;Total Nacional;1 de enero de 2003;209.078
Hombres;2 años;Total Nacional;1 de enero de 2002;197.159
Hombres;2 años;Total Nacional;1 de enero de 2001;190.438
Hombres;2 años;Total Nacional;1 de enero de 2000;188.853
Hombres;2 años;Total Nacional;1 de enero de 1999;185.968
Hombres;2 años;Total Nacional;1 de enero de 1998;187.659
Hombres;2 años;Total Nacional;1 de enero de 1997;190.386
Hombres;2 años;Total Nacional;1 de enero de 1996;198.701
Hombres;2 años;Total Nacional;1 de enero de 1995;204.528
Hombres;2 años;Total Nacional;1 de enero de 1994;202.814
Hombres;2 años;Total Nacional;1 de enero de 1993;201.608
Hombres;2 años;Total Nacional;1 de enero de 1992;204.296
Hombres;2 años;Total Nacional;1 de enero de 1991;205.013
Hombres;2 años;Total Nacional;1 de enero de 1990;213.509
Hombres;2 años;Total Nacional;1 de enero de 1989;219.763
Hombres;2 años;Total Nacional;1 de enero de 1988;230.790
Hombres;2 años;Total Nacional;1 de enero de 1987;242.888
Hombres;2 años;Total Nacional;1 de enero de 1986;248.190
Hombres;2 años;Total Nacional;1 de enero de 1985;265.110
Hombres;2 años;Total Nacional;1 de enero de 1984;283.091
Hombres;2 años;Total Nacional;1 de enero de 1983;292.081
Hombres;2 años;Total Nacional;1 de enero de 1982;303.135
Hombres;2 años;Total Nacional;1 de enero de 1981;319.810
Hombres;2 años;Total Nacional;1 de enero de 1980;329.002
Hombres;3 años;Total Nacional;1 de enero de 2020;220.142
Hombres;3 años;Total Nacional;1 de enero de 2019;223.368
Hombres;3 años;Total Nacional;1 de enero de 2018;225.090
Hombres;3 años;Total Nacional;1 de enero de 2017;221.124
Hombres;3 años;Total Nacional;1 de enero de 2016;233.821
Hombres;3 años;Total Nacional;1 de enero de 2015;243.501
Hombres;3 años;Total Nacional;1 de enero de 2014;247.355
Hombres;3 años;Total Nacional;1 de enero de 2013;254.871
Hombres;3 años;Total Nacional;1 de enero de 2012;269.087
Hombres;3 años;Total Nacional;1 de enero de 2011;258.553
Hombres;3 años;Total Nacional;1 de enero de 2010;255.705
Hombres;3 años;Total Nacional;1 de enero de 2009;248.895
Hombres;3 años;Total Nacional;1 de enero de 2008;244.702
Hombres;3 años;Total Nacional;1 de enero de 2007;236.675
Hombres;3 años;Total Nacional;1 de enero de 2006;224.345
Hombres;3 años;Total Nacional;1 de enero de 2005;219.513
Hombres;3 años;Total Nacional;1 de enero de 2004;212.962
Hombres;3 años;Total Nacional;1 de enero de 2003;201.785
Hombres;3 años;Total Nacional;1 de enero de 2002;192.270
Hombres;3 años;Total Nacional;1 de enero de 2001;188.877
Hombres;3 años;Total Nacional;1 de enero de 2000;186.218
Hombres;3 años;Total Nacional;1 de enero de 1999;188.088
Hombres;3 años;Total Nacional;1 de enero de 1998;190.664
Hombres;3 años;Total Nacional;1 de enero de 1997;198.909
Hombres;3 años;Total Nacional;1 de enero de 1996;205.003
Hombres;3 años;Total Nacional;1 de enero de 1995;203.380
Hombres;3 años;Total Nacional;1 de enero de 1994;202.660
Hombres;3 años;Total Nacional;1 de enero de 1993;205.427
Hombres;3 años;Total Nacional;1 de enero de 1992;205.599
Hombres;3 años;Total Nacional;1 de enero de 1991;211.688
Hombres;3 años;Total Nacional;1 de enero de 1990;218.115
Hombres;3 años;Total Nacional;1 de enero de 1989;229.794
Hombres;3 años;Total Nacional;1 de enero de 1988;242.801
Hombres;3 años;Total Nacional;1 de enero de 1987;248.101
Hombres;3 años;Total Nacional;1 de enero de 1986;265.076
Hombres;3 años;Total Nacional;1 de enero de 1985;282.056
Hombres;3 años;Total Nacional;1 de enero de 1984;291.858
Hombres;3 años;Total Nacional;1 de enero de 1983;303.278
Hombres;3 años;Total Nacional;1 de enero de 1982;319.782
Hombres;3 años;Total Nacional;1 de enero de 1981;327.820
Hombres;3 años;Total Nacional;1 de enero de 1980;339.325
Hombres;4 años;Total Nacional;1 de enero de 2020;226.539
Hombres;4 años;Total Nacional;1 de enero de 2019;227.710
Hombres;4 años;Total Nacional;1 de enero de 2018;222.904
Hombres;4 años;Total Nacional;1 de enero de 2017;234.728
Hombres;4 años;Total Nacional;1 de enero de 2016;243.729
Hombres;4 años;Total Nacional;1 de enero de 2015;246.943
Hombres;4 años;Total Nacional;1 de enero de 2014;253.661
Hombres;4 años;Total Nacional;1 de enero de 2013;268.364
Hombres;4 años;Total Nacional;1 de enero de 2012;259.160
Hombres;4 años;Total Nacional;1 de enero de 2011;256.415
Hombres;4 años;Total Nacional;1 de enero de 2010;249.779
Hombres;4 años;Total Nacional;1 de enero de 2009;246.842
Hombres;4 años;Total Nacional;1 de enero de 2008;240.062
Hombres;4 años;Total Nacional;1 de enero de 2007;227.352
Hombres;4 años;Total Nacional;1 de enero de 2006;222.017
Hombres;4 años;Total Nacional;1 de enero de 2005;216.114
Hombres;4 años;Total Nacional;1 de enero de 2004;205.978
Hombres;4 años;Total Nacional;1 de enero de 2003;196.829
Hombres;4 años;Total Nacional;1 de enero de 2002;189.970
Hombres;4 años;Total Nacional;1 de enero de 2001;186.463
Hombres;4 años;Total Nacional;1 de enero de 2000;188.539
Hombres;4 años;Total Nacional;1 de enero de 1999;190.962
Hombres;4 años;Total Nacional;1 de enero de 1998;199.149
Hombres;4 años;Total Nacional;1 de enero de 1997;205.480
Hombres;4 años;Total Nacional;1 de enero de 1996;203.955
Hombres;4 años;Total Nacional;1 de enero de 1995;203.717
Hombres;4 años;Total Nacional;1 de enero de 1994;206.591
Hombres;4 años;Total Nacional;1 de enero de 1993;206.967
Hombres;4 años;Total Nacional;1 de enero de 1992;212.305
Hombres;4 años;Total Nacional;1 de enero de 1991;216.488
Hombres;4 años;Total Nacional;1 de enero de 1990;228.787
Hombres;4 años;Total Nacional;1 de enero de 1989;242.723
Hombres;4 años;Total Nacional;1 de enero de 1988;248.036
Hombres;4 años;Total Nacional;1 de enero de 1987;265.064
Hombres;4 años;Total Nacional;1 de enero de 1986;281.058
Hombres;4 años;Total Nacional;1 de enero de 1985;291.671
Hombres;4 años;Total Nacional;1 de enero de 1984;303.419
Hombres;4 años;Total Nacional;1 de enero de 1983;320.106
Hombres;4 años;Total Nacional;1 de enero de 1982;327.734
Hombres;4 años;Total Nacional;1 de enero de 1981;338.660
Hombres;4 años;Total Nacional;1 de enero de 1980;342.024
Hombres;5 años;Total Nacional;1 de enero de 2020;230.874
Hombres;5 años;Total Nacional;1 de enero de 2019;225.085
Hombres;5 años;Total Nacional;1 de enero de 2018;236.080
Hombres;5 años;Total Nacional;1 de enero de 2017;244.408
Hombres;5 años;Total Nacional;1 de enero de 2016;246.882
Hombres;5 años;Total Nacional;1 de enero de 2015;253.087
Hombres;5 años;Total Nacional;1 de enero de 2014;267.319
Hombres;5 años;Total Nacional;1 de enero de 2013;258.523
Hombres;5 años;Total Nacional;1 de enero de 2012;256.800
Hombres;5 años;Total Nacional;1 de enero de 2011;250.239
Hombres;5 años;Total Nacional;1 de enero de 2010;247.742
Hombres;5 años;Total Nacional;1 de enero de 2009;241.893
Hombres;5 años;Total Nacional;1 de enero de 2008;230.668
Hombres;5 años;Total Nacional;1 de enero de 2007;224.988
Hombres;5 años;Total Nacional;1 de enero de 2006;219.397
Hombres;5 años;Total Nacional;1 de enero de 2005;209.037
Hombres;5 años;Total Nacional;1 de enero de 2004;200.973
Hombres;5 años;Total Nacional;1 de enero de 2003;194.674
Hombres;5 años;Total Nacional;1 de enero de 2002;187.692
Hombres;5 años;Total Nacional;1 de enero de 2001;188.990
Hombres;5 años;Total Nacional;1 de enero de 2000;191.267
Hombres;5 años;Total Nacional;1 de enero de 1999;199.398
Hombres;5 años;Total Nacional;1 de enero de 1998;205.966
Hombres;5 años;Total Nacional;1 de enero de 1997;204.545
Hombres;5 años;Total Nacional;1 de enero de 1996;204.789
Hombres;5 años;Total Nacional;1 de enero de 1995;207.763
Hombres;5 años;Total Nacional;1 de enero de 1994;208.354
Hombres;5 años;Total Nacional;1 de enero de 1993;213.404
Hombres;5 años;Total Nacional;1 de enero de 1992;217.253
Hombres;5 años;Total Nacional;1 de enero de 1991;227.811
Hombres;5 años;Total Nacional;1 de enero de 1990;242.642
Hombres;5 años;Total Nacional;1 de enero de 1989;247.978
Hombres;5 años;Total Nacional;1 de enero de 1988;265.072
Hombres;5 años;Total Nacional;1 de enero de 1987;280.085
Hombres;5 años;Total Nacional;1 de enero de 1986;291.481
Hombres;5 años;Total Nacional;1 de enero de 1985;303.604
Hombres;5 años;Total Nacional;1 de enero de 1984;320.429
Hombres;5 años;Total Nacional;1 de enero de 1983;327.912
Hombres;5 años;Total Nacional;1 de enero de 1982;338.804
Hombres;5 años;Total Nacional;1 de enero de 1981;342.703
Hombres;5 años;Total Nacional;1 de enero de 1980;343.570
Hombres;6 años;Total Nacional;1 de enero de 2020;228.100
Hombres;6 años;Total Nacional;1 de enero de 2019;238.042
Hombres;6 años;Total Nacional;1 de enero de 2018;245.458
Hombres;6 años;Total Nacional;1 de enero de 2017;247.168
Hombres;6 años;Total Nacional;1 de enero de 2016;252.798
Hombres;6 años;Total Nacional;1 de enero de 2015;266.749
Hombres;6 años;Total Nacional;1 de enero de 2014;257.466
Hombres;6 años;Total Nacional;1 de enero de 2013;256.405
Hombres;6 años;Total Nacional;1 de enero de 2012;250.725
Hombres;6 años;Total Nacional;1 de enero de 2011;248.290
Hombres;6 años;Total Nacional;1 de enero de 2010;242.388
Hombres;6 años;Total Nacional;1 de enero de 2009;232.714
Hombres;6 años;Total Nacional;1 de enero de 2008;228.376
Hombres;6 años;Total Nacional;1 de enero de 2007;223.183
Hombres;6 años;Total Nacional;1 de enero de 2006;212.418
Hombres;6 años;Total Nacional;1 de enero de 2005;204.061
Hombres;6 años;Total Nacional;1 de enero de 2004;198.909
Hombres;6 años;Total Nacional;1 de enero de 2003;192.463
Hombres;6 años;Total Nacional;1 de enero de 2002;190.292
Hombres;6 años;Total Nacional;1 de enero de 2001;191.575
Hombres;6 años;Total Nacional;1 de enero de 2000;199.653
Hombres;6 años;Total Nacional;1 de enero de 1999;206.456
Hombres;6 años;Total Nacional;1 de enero de 1998;205.133
Hombres;6 años;Total Nacional;1 de enero de 1997;205.868
Hombres;6 años;Total Nacional;1 de enero de 1996;208.948
Hombres;6 años;Total Nacional;1 de enero de 1995;209.732
Hombres;6 años;Total Nacional;1 de enero de 1994;214.509
Hombres;6 años;Total Nacional;1 de enero de 1993;218.502
Hombres;6 años;Total Nacional;1 de enero de 1992;228.628
Hombres;6 años;Total Nacional;1 de enero de 1991;242.573
Hombres;6 años;Total Nacional;1 de enero de 1990;247.943
Hombres;6 años;Total Nacional;1 de enero de 1989;265.090
Hombres;6 años;Total Nacional;1 de enero de 1988;279.124
Hombres;6 años;Total Nacional;1 de enero de 1987;291.301
Hombres;6 años;Total Nacional;1 de enero de 1986;303.786
Hombres;6 años;Total Nacional;1 de enero de 1985;320.779
Hombres;6 años;Total Nacional;1 de enero de 1984;328.080
Hombres;6 años;Total Nacional;1 de enero de 1983;339.134
Hombres;6 años;Total Nacional;1 de enero de 1982;342.985
Hombres;6 años;Total Nacional;1 de enero de 1981;342.715
Hombres;6 años;Total Nacional;1 de enero de 1980;339.155
Hombres;7 años;Total Nacional;1 de enero de 2020;240.643
Hombres;7 años;Total Nacional;1 de enero de 2019;247.138
Hombres;7 años;Total Nacional;1 de enero de 2018;247.867
Hombres;7 años;Total Nacional;1 de enero de 2017;253.150
Hombres;7 años;Total Nacional;1 de enero de 2016;266.449
Hombres;7 años;Total Nacional;1 de enero de 2015;257.024
Hombres;7 años;Total Nacional;1 de enero de 2014;255.662
Hombres;7 años;Total Nacional;1 de enero de 2013;250.251
Hombres;7 años;Total Nacional;1 de enero de 2012;248.744
Hombres;7 años;Total Nacional;1 de enero de 2011;242.764
Hombres;7 años;Total Nacional;1 de enero de 2010;233.391
Hombres;7 años;Total Nacional;1 de enero de 2009;230.399
Hombres;7 años;Total Nacional;1 de enero de 2008;227.345
Hombres;7 años;Total Nacional;1 de enero de 2007;216.093
Hombres;7 años;Total Nacional;1 de enero de 2006;207.226
Hombres;7 años;Total Nacional;1 de enero de 2005;202.123
Hombres;7 años;Total Nacional;1 de enero de 2004;196.515
Hombres;7 años;Total Nacional;1 de enero de 2003;194.587
Hombres;7 años;Total Nacional;1 de enero de 2002;192.767
Hombres;7 años;Total Nacional;1 de enero de 2001;199.911
Hombres;7 años;Total Nacional;1 de enero de 2000;206.950
Hombres;7 años;Total Nacional;1 de enero de 1999;205.733
Hombres;7 años;Total Nacional;1 de enero de 1998;206.949
Hombres;7 años;Total Nacional;1 de enero de 1997;210.127
Hombres;7 años;Total Nacional;1 de enero de 1996;211.119
Hombres;7 años;Total Nacional;1 de enero de 1995;215.617
Hombres;7 años;Total Nacional;1 de enero de 1994;219.744
Hombres;7 años;Total Nacional;1 de enero de 1993;229.804
Hombres;7 años;Total Nacional;1 de enero de 1992;243.174
Hombres;7 años;Total Nacional;1 de enero de 1991;247.900
Hombres;7 años;Total Nacional;1 de enero de 1990;265.118
Hombres;7 años;Total Nacional;1 de enero de 1989;278.161
Hombres;7 años;Total Nacional;1 de enero de 1988;291.134
Hombres;7 años;Total Nacional;1 de enero de 1987;303.988
Hombres;7 años;Total Nacional;1 de enero de 1986;321.150
Hombres;7 años;Total Nacional;1 de enero de 1985;328.259
Hombres;7 años;Total Nacional;1 de enero de 1984;339.458
Hombres;7 años;Total Nacional;1 de enero de 1983;343.208
Hombres;7 años;Total Nacional;1 de enero de 1982;342.537
Hombres;7 años;Total Nacional;1 de enero de 1981;339.353
Hombres;7 años;Total Nacional;1 de enero de 1980;340.336
Hombres;8 años;Total Nacional;1 de enero de 2020;249.747
Hombres;8 años;Total Nacional;1 de enero de 2019;249.470
Hombres;8 años;Total Nacional;1 de enero de 2018;253.955
Hombres;8 años;Total Nacional;1 de enero de 2017;266.687
Hombres;8 años;Total Nacional;1 de enero de 2016;257.095
Hombres;8 años;Total Nacional;1 de enero de 2015;255.372
Hombres;8 años;Total Nacional;1 de enero de 2014;249.654
Hombres;8 años;Total Nacional;1 de enero de 2013;248.464
Hombres;8 años;Total Nacional;1 de enero de 2012;243.087
Hombres;8 años;Total Nacional;1 de enero de 2011;233.699
Hombres;8 años;Total Nacional;1 de enero de 2010;230.998
Hombres;8 años;Total Nacional;1 de enero de 2009;230.152
Hombres;8 años;Total Nacional;1 de enero de 2008;220.217
Hombres;8 años;Total Nacional;1 de enero de 2007;210.828
Hombres;8 años;Total Nacional;1 de enero de 2006;205.543
Hombres;8 años;Total Nacional;1 de enero de 2005;199.636
Hombres;8 años;Total Nacional;1 de enero de 2004;198.251
Hombres;8 años;Total Nacional;1 de enero de 2003;197.061
Hombres;8 años;Total Nacional;1 de enero de 2002;201.067
Hombres;8 años;Total Nacional;1 de enero de 2001;207.457
Hombres;8 años;Total Nacional;1 de enero de 2000;206.340
Hombres;8 años;Total Nacional;1 de enero de 1999;208.027
Hombres;8 años;Total Nacional;1 de enero de 1998;211.345
Hombres;8 años;Total Nacional;1 de enero de 1997;212.508
Hombres;8 años;Total Nacional;1 de enero de 1996;216.722
Hombres;8 años;Total Nacional;1 de enero de 1995;220.980
Hombres;8 años;Total Nacional;1 de enero de 1994;230.992
Hombres;8 años;Total Nacional;1 de enero de 1993;243.925
Hombres;8 años;Total Nacional;1 de enero de 1992;248.815
Hombres;8 años;Total Nacional;1 de enero de 1991;265.145
Hombres;8 años;Total Nacional;1 de enero de 1990;277.211
Hombres;8 años;Total Nacional;1 de enero de 1989;290.974
Hombres;8 años;Total Nacional;1 de enero de 1988;304.207
Hombres;8 años;Total Nacional;1 de enero de 1987;321.530
Hombres;8 años;Total Nacional;1 de enero de 1986;328.456
Hombres;8 años;Total Nacional;1 de enero de 1985;339.827
Hombres;8 años;Total Nacional;1 de enero de 1984;343.437
Hombres;8 años;Total Nacional;1 de enero de 1983;342.495
Hombres;8 años;Total Nacional;1 de enero de 1982;339.344
Hombres;8 años;Total Nacional;1 de enero de 1981;340.765
Hombres;8 años;Total Nacional;1 de enero de 1980;338.056
Hombres;9 años;Total Nacional;1 de enero de 2020;252.052
Hombres;9 años;Total Nacional;1 de enero de 2019;255.735
Hombres;9 años;Total Nacional;1 de enero de 2018;267.506
Hombres;9 años;Total Nacional;1 de enero de 2017;257.675
Hombres;9 años;Total Nacional;1 de enero de 2016;255.611
Hombres;9 años;Total Nacional;1 de enero de 2015;249.457
Hombres;9 años;Total Nacional;1 de enero de 2014;247.852
Hombres;9 años;Total Nacional;1 de enero de 2013;242.838
Hombres;9 años;Total Nacional;1 de enero de 2012;234.185
Hombres;9 años;Total Nacional;1 de enero de 2011;231.439
Hombres;9 años;Total Nacional;1 de enero de 2010;231.419
Hombres;9 años;Total Nacional;1 de enero de 2009;223.146
Hombres;9 años;Total Nacional;1 de enero de 2008;214.793
Hombres;9 años;Total Nacional;1 de enero de 2007;209.443
Hombres;9 años;Total Nacional;1 de enero de 2006;203.084
Hombres;9 años;Total Nacional;1 de enero de 2005;201.172
Hombres;9 años;Total Nacional;1 de enero de 2004;201.004
Hombres;9 años;Total Nacional;1 de enero de 2003;205.433
Hombres;9 años;Total Nacional;1 de enero de 2002;208.757
Hombres;9 años;Total Nacional;1 de enero de 2001;206.938
Hombres;9 años;Total Nacional;1 de enero de 2000;209.114
Hombres;9 años;Total Nacional;1 de enero de 1999;212.537
Hombres;9 años;Total Nacional;1 de enero de 1998;213.908
Hombres;9 años;Total Nacional;1 de enero de 1997;217.835
Hombres;9 años;Total Nacional;1 de enero de 1996;222.228
Hombres;9 años;Total Nacional;1 de enero de 1995;232.183
Hombres;9 años;Total Nacional;1 de enero de 1994;244.673
Hombres;9 años;Total Nacional;1 de enero de 1993;249.932
Hombres;9 años;Total Nacional;1 de enero de 1992;266.060
Hombres;9 años;Total Nacional;1 de enero de 1991;276.265
Hombres;9 años;Total Nacional;1 de enero de 1990;290.832
Hombres;9 años;Total Nacional;1 de enero de 1989;304.437
Hombres;9 años;Total Nacional;1 de enero de 1988;321.911
Hombres;9 años;Total Nacional;1 de enero de 1987;328.669
Hombres;9 años;Total Nacional;1 de enero de 1986;340.178
Hombres;9 años;Total Nacional;1 de enero de 1985;343.671
Hombres;9 años;Total Nacional;1 de enero de 1984;342.456
Hombres;9 años;Total Nacional;1 de enero de 1983;339.295
Hombres;9 años;Total Nacional;1 de enero de 1982;341.070
Hombres;9 años;Total Nacional;1 de enero de 1981;338.331
Hombres;9 años;Total Nacional;1 de enero de 1980;336.870
Hombres;10 años;Total Nacional;1 de enero de 2020;258.226
Hombres;10 años;Total Nacional;1 de enero de 2019;269.157
Hombres;10 años;Total Nacional;1 de enero de 2018;258.572
Hombres;10 años;Total Nacional;1 de enero de 2017;256.298
Hombres;10 años;Total Nacional;1 de enero de 2016;249.630
Hombres;10 años;Total Nacional;1 de enero de 2015;247.620
Hombres;10 años;Total Nacional;1 de enero de 2014;242.314
Hombres;10 años;Total Nacional;1 de enero de 2013;233.959
Hombres;10 años;Total Nacional;1 de enero de 2012;231.822
Hombres;10 años;Total Nacional;1 de enero de 2011;232.277
Hombres;10 años;Total Nacional;1 de enero de 2010;224.531
Hombres;10 años;Total Nacional;1 de enero de 2009;217.683
